"","Nazwa_IZFiA","OZZ17","TER17","OB17","Profil17","PW17","NW17","Aktywa17","OZN17","OZU17","OZW17","OZZ18","OZN18","OZU18","OZW18","TER18","OB18","Profil18","PW18","NW18","Aktywa18","TFI","Lokalizacja","mean_daily_log_rr_16","std_daily_log_rr_16","var16_5","var16_95","es16","eg16","mean_daily_log_rr_17","std_daily_log_rr_17","var17_5","var17_95","es17","eg17","Data_utworzenia","yearly_rr_17","yearly_rr_16","yearly_std_16","yearly_std_17","zm.akt.17.18.proc","zm.akt.17.18.flow.proc","sr16","sr17","Wiek"
"144","KBC Subfundusz AKCYJNY","4","4.44","4.38","akcji",500,100,4.30406509320417,"4",0,"0",4,4,0,0,4.47,"4.47","akcji ",500,100,3.82209829790016,"GAMMA","polskie","0.00041126","0.008142624","-0.014696943","3.674235718","-0.000322389","-0.041029142","0.000537187","0.00669617","-0.01430217","3.070674675","0.000269021","0.101239806",2006-10-25,"0.133759625","0.102403792","2.035656093","1.674042462",-0.382432432432432,-0.516192057432432,0.0429364234462564,0.0715391799900473,11.8054794520548
"145","KBC Subfundusz Aktywny","3.8","4.38","4.31","mieszane",500,100,3.79997350161952,"3",0,"0",2.5,3,0,0,4.37,"4.37","mieszane",500,100,3.46573590279973,"GAMMA","zagraniczne","0.000179342","0.004478087","-0.008193012","2.048253075","-0.000185926","-0.03806779","0.000300499","0.003688717","-0.00763996","1.736630761","0.000132795","0.037332901",2002-07-26,"0.074824366","0.044656139","1.119521831","0.922179213",-0.284116331096197,-0.358940697096197,0.02649000508861,0.0659572078209488,16.0575342465753
"146","KBC Subfundusz Globalny Akcyjny","3","4.04","4.57","akcji",500,100,2.24070968927596,"4",0,"0",3,4,0,0,4.61,"4.48","akcji ",500,100,1.79175946922805,"GAMMA","zagraniczne","0.000195013","0.008404452","-0.016047311","4.011827813","-9.58692E-05","-0.04333143","2.47143E-05","0.004593221","-0.015922093","2.494011391","-0.000684594","-0.026064283",2011-03-31,"0.006153866","0.048558352","2.101113046","1.148305323",-0.361702127659574,-0.367855993659574,0.0159717022669898,-0.00683279424282526,7.37260273972603
"147","KBC Subfundusz Globalny Obligacyjny","1","","5.01","d³u¿ne",500,100,1.85629799036563,"#ARG!",0,"0",1,1.5,0,0,2.9,"2.79","d³u¿ne ",500,100,1.38629436111989,"GAMMA","zagraniczne","8.15435E-05","0.004066128","-0.008098156","2.024538938","-7.68064E-05","0.067673649","-0.00032091","0.003205244","-0.006208056","1.52771978","-1.38302E-05","0.011064296",2012-04-04,"-0.079906712","0.020304338","1.016532001","0.80131102",-0.375,-0.295093288,0.00521807281500428,-0.117191339762181,6.35890410958904
"148","KBC Subfundusz Obligacji Korporacyjnych","1.3","1.82","1.73","d³u¿ne",500,100,4.77996347636125,"1",0,"0",1.3,0.75,0,0,1.67,"1.67","d³u¿ne ",500,100,4.06731588983418,"GAMMA","polskie","0.000117357","0.00070314","-0.000940335","0.235083729","6.83975E-05","0.02006261","0.00010411","0.000684973","-0.001131229","0.283298714","0.000127662","0.030211092",2011-05-11,"0.025923389","0.029221992","0.175785045","0.171243249",-0.509655751469353,-0.535579140469354,0.0809055855690113,0.069628374079728,7.26027397260274
"149","KBC Subfundusz Papierów D³u¿nych","1.4","1.71","1.65","d³u¿ne",500,100,4.79164975293071,"1",0,"0",1.4,0.75,0,0,1.75,"1.75","d³u¿ne ",500,100,4.56226268497681,"GAMMA","polskie","2.08132E-05","0.001025094","-0.001551229","0.387807204","8.12907E-05","0.023341807","0.000173608","0.000825377","-0.001433342","0.446699878","1.54435E-05","0.002757346",2001-12-20,"0.043228397","0.005182497","0.2562735","0.206344215",-0.204979253112033,-0.248207650112033,-0.0383086936417538,0.141648734857917,16.6547945205479
"150","KBC Subfundusz Pieniê¿ny","0.9","1.17","1.19","pieniê¿ne",500,100,5.6688459047753,"0",0,"0",0.9,0,0,0,1.18,"1.18","gotówkowe i pieniê¿ne ",500,100,6.01395962493535,"GAMMA","polskie","9.18835E-05","0.000520354","-0.000907019","0.226754785","6.79474E-05","0.020506241","0.000150421","0.000410199","-0.00099298","0.194654648","9.20099E-05","0.022988907",2002-07-26,"0.037454748","0.022878982","0.130088557","0.102549799",0.412150500517777,0.374695752517777,0.0605662956196831,0.228715689632897,16.0575342465753
"151","KBC Subfundusz Stabilny","2.5","2.94","2.9","mieszane",500,100,4.34120464015363,"3",0,"0",2.5,2.5,0,0,2.93,"2.93","mieszane",500,100,4.14472076954717,"GAMMA","zagraniczne","0.000158942","0.002790956","-0.005385865","1.346466311","-2.38409E-05","0.025681171","0.000251663","0.002390648","-0.004492143","1.131056916","0.000121672","0.037444859",2001-12-20,"0.062664039","0.039576579","0.697739064","0.597662048",-0.178385416666667,-0.241049455666667,0.035223166177779,0.0814240073681239,16.6547945205479
"152","Metlife Subfudnusz Ochrony Wzrostu","2.6","2.85","3.07","mieszane",500,250,2.07944154167984,"2",0,"0",2.6,2,0,0,3.13,"4","mieszane",500,250,1.52605630349505,"MetLife ","zagraniczne","-0.000101393","0.001276839","-0.003737502","0.93811308","-0.000157814","-0.014189598","9.24759E-05","0.001655883","-0.002349278","0.549505683","-6.38395E-05","-0.01410994",2007-01-10,"0.022934017","-0.02534837","0.320486479","0.412314943",-0.425,-0.447934017,-0.125897261331889,0.0216679437688971,11.5945205479452
"153","Metlife Subfundusz Akcji","4","4.28","4.3","akcji",500,NA,4.9177887437299,"5",0,"0",4,4.5,0,0,4.3,"4.3","akcji ",500,250,4.58904080405821,"MetLife ","polskie","0.000494665","0.009589975","-0.017439945","4.377426317","-0.000760279","-0.248983886","0.000531787","0.007527888","-0.018405101","3.335494232","8.37144E-05","0.112943011",2004-06-18,"0.131883131","0.123666137","2.407083769","1.874444004",-0.280175566934894,-0.412058697934894,0.0451443104720632,0.0628896519439585,14.158904109589
"154","Metlife Subfundusz Akcji Amerykañskich","2.5","2.8","3.71","akcji",500,250,3.29212628660779,"4",0,"0",2.5,4,0,0,2.84,"3.06","akcji ",500,250,3.51452606696916,"MetLife ","zagraniczne","0.000308553","0.007952726","-0.016493926","4.123481589","0.000291228","0.104032436","0.000397557","0.003446601","-0.018445269","1.94650627","-0.00027877","0.019447258",2007-01-10,"0.098594255","0.076829579","1.988181404","0.858203762",0.24907063197026,0.15047637697026,0.0310985601593525,0.0985712936084752,11.5945205479452
"155","Metlife Subfundusz Akcji Chiñskich i Azjatyckich","3","3.3","4.27","akcji",500,250,3.74950407593037,"4",0,"0",3,4,0,0,3.32,"4.25","akcji ",500,250,3.91800507710569,"MetLife ","zagraniczne","2.65278E-05","0.007521146","-0.01636121","4.106663786","2.46543E-05","0.080394746","0.001060846","0.004552325","-0.016000334","2.223085675","-4.85815E-05","-0.028851781",2007-01-10,"0.263089691","0.006631952","1.887807589","1.133529036",0.183529411764706,-0.0795602792352942,-0.00443268055958641,0.219747075804064,11.5945205479452
"156","Metlife Subfundusz Akcji Ma³ych Spó³ek","3","3.64","3.62","akcji",500,250,3.11351530921037,"4",0,"0",3,4,0,0,3.43,"3.43","akcji ",500,250,3.11351530921037,"MetLife ","polskie","0.000739333","0.006811523","-0.012654482","3.176274924","-2.7901E-05","0.057223207","6.36446E-05","0.006013605","-0.012662534","2.495731448","0.000760478","0.194238304",2007-01-10,"0.015783868","0.18483326","1.709692279","1.497387748",0,-0.015783868,0.0993355717201551,0.00119132001873439,11.5945205479452
"157","Metlife Subfundusz Akcji Nowa Europa","3.5","4.09","4.11","akcji",500,250,3.86702563949741,"4",0,"0",3.5,4,0,0,4.12,"4.12","akcji ",500,250,3.77045944110636,"MetLife ","zagraniczne","0.000715177","0.00954458","-0.018402714","4.619081125","-0.000602504","-0.150440336","0.000278197","0.005239098","-0.019735933","2.696890118","0.001073125","0.157606703",2007-01-10,"0.068992871","0.178794216","2.395689645","1.304535411",-0.0920502092050209,-0.161043080205021,0.0683703819239908,0.0421551385545333,11.5945205479452
"158","Metlife Subfundusz Akcji Polskich","4","4.44","4.46","akcji",500,250,2.92316158071916,"4",0,"0",4,4,0,0,4.46,"4.46","akcji ",500,250,2.78501124223834,"MetLife ","polskie","0.000500653","0.00898008","-0.016119502","4.045994985","-0.000600769","-0.177355068","0.000429574","0.007084594","-0.017323663","3.167478334","0.000138267","0.10476472",2007-01-10,"0.106534323","0.125163143","2.254000018","1.764063798",-0.129032258064516,-0.235566581064516,0.0488745084828123,0.0524552020765408,11.5945205479452
"159","Metlife Subfundusz Akcji Rynków Rozwiniêtych","3","3.52","4.36","akcji",500,250,2.54944517092557,"4",0,"0",3,4,0,0,3.5,"3.99","akcji ",500,250,2.96010509591084,"MetLife ","zagraniczne","0.000506293","0.006903058","-0.014408025","3.616414268","-2.96148E-06","9.1597E-05","0.000352186","0.003536017","-0.015008706","1.890050224","0.000305438","0.110520817",2007-01-10,"0.08734201","0.126573208","1.732667623","0.880468204",0.5078125,0.42047049,0.0643938898141458,0.083298874015898,11.5945205479452
"160","Metlife Subfundusz Akcji Rynków Wschodz¹cych","3","3.41","4.24","akcji",500,250,3.3178157727231,"4",0,"0",3,4,0,0,3.35,"5.19","akcji ",500,250,3.43720781918519,"MetLife ","zagraniczne","0.000366269","0.008988377","-0.017581543","4.41296726","-0.000348292","-0.125272029","0.000806861","0.00548056","-0.01813409","2.800081558","0.000468581","0.112551794",2007-01-10,"0.200101641","0.091567194","2.256082508","1.364659421",0.126811594202899,-0.0732900467971015,0.0339381178341196,0.136372224553748,11.5945205479452
"161","Metlife Subfundusz Akcji Œrednich Spó³ek","4","4.37","4.34","akcji",500,250,4.78832472908594,"5",0,"0",4,4.5,0,0,4.28,"4.28","akcji ",500,250,4.15261347034608,"MetLife ","polskie","0.000895678","0.00752827","-0.013607158","3.415396603","-0.000263737","-0.107867565","-0.000109786","0.006382379","-0.013777581","2.719673701","0.000829614","0.215233835",2006-11-14,"-0.027226813","0.223919447","1.889595824","1.589212421",-0.470441298917569,-0.443214485917569,0.110563033822623,-0.0259416629616186,11.7506849315069
"162","Metlife Subfundusz Aktywnej Alokacji","3","3.88","3.82","mieszane",500,250,2.34180580614733,"4",0,"0",3,3.5,0,0,3.54,"3.54","mieszane",500,250,2.91235066461494,"MetLife ","zagraniczne","0.000399253","0.005462746","-0.009869901","2.477345082","-0.000368328","-0.088320582","0.00014239","0.004690639","-0.010232236","1.94355992","0.000413967","0.098545137",2004-06-18,"0.035312622","0.099813243","1.371149146","1.167969218",0.769230769230769,0.733918147230769,0.0618555926227445,0.018247588781916,14.158904109589
"163","Metlife Subfundusz Lokacyjny","0.8","1.14","1.09","pieniê¿ne",500,250,3.66356164612965,"0",0,"0",0.8,0,0,0,1.1,"1.1","gotówkowe i pieniê¿ne ",500,250,4.21950770517611,"MetLife ","polskie","5.54409E-05","0.000399052","-0.000649412","0.163002508","6.987E-05","0.018477235","0.000125677","0.000374894","-0.000819296","0.147589424","4.87556E-05","0.013502366",2007-01-10,"0.031167835","0.013860236","0.100161994","0.093348562",0.743589743589744,0.712421908589744,-0.0113792063684355,0.183911081565456,11.5945205479452
"164","Metlife Subfundusz Obligacji Plus","1.45","1.75","1.74","d³u¿ne",500,250,3.74950407593037,"1",0,"0",1.45,0.5,0,0,1.74,"1.74","d³u¿ne ",500,250,3.93963817246112,"MetLife ","polskie","1.49813E-05","0.001389125","-0.0020515","0.514926547","1.0621E-05","0.005639577","0.000128726","0.000847596","-0.002035328","0.529528341","5.18063E-05","0.008584243",2007-01-10,"0.031924135","0.003745323","0.34867034","0.211051287",0.209411764705882,0.177487629705882,-0.0322788482668184,0.0849278640030278,11.5945205479452
"165","Metlife Subfundusz Obligacji Skarbowych","1.45","1.69","1.7","d³u¿ne",500,250,4.59005654817804,"1",0,"0",1.45,1,0,0,1.74,"1.74","d³u¿ne ",500,250,4.50202942706858,"MetLife ","polskie","1.55794E-05","0.00138969","-0.001972352","0.495060265","2.19847E-06","0.013675722","0.000133039","0.000783588","-0.001876711","0.516951835","2.34728E-05","0.008186848",2004-06-18,"0.032993669","0.003894844","0.348812131","0.195113518",-0.0842639593908629,-0.117257628390863,-0.0318370693363299,0.0973467609763461,14.158904109589
"166","Metlife Subfundusz Obligacji Œwiatowych","1","1.33","1.93","d³u¿ne",500,250,4.13836144763888,"1",0,"0",1,1,0,0,1.27,"2.57","d³u¿ne ",500,250,4.10098910494077,"MetLife ","zagraniczne","0.000318824","0.002711422","-0.006406558","1.601639543","0.000139957","0.039272769","9.38504E-05","0.001269415","-0.006259081","0.716845804","0.00037412","0.136946054",2007-01-10,"0.023274906","0.079387271","0.677855544","0.316084261",-0.0366826156299841,-0.0599575216299841,0.0949867144554917,0.0293431440422148,11.5945205479452
"167","Metlife Subfundusz Pieniê¿ny","1","1.2","1.21","pieniê¿ne",500,250,6.12117615362964,"0",0,"0",1,0,0,0,1.24,"1.24","gotówkowe i pieniê¿ne ",500,250,6.22732687082997,"MetLife ","polskie","4.6813E-05","0.000430082","-0.000647776","0.162591715","7.16185E-05","0.01897395","0.000128713","0.00044688","-0.000844256","0.171188636","4.16482E-05","0.01173375",2005-04-29,"0.031920807","0.011703244","0.107950506","0.111273152",0.111989459815547,0.0800686528155468,-0.0305395140991743,0.16105238934905,13.2958904109589
"168","Metlife Subfundusz Stabilnego Wzrostu","2.2","2.48","2.52","mieszane",500,250,3.66356164612965,"0",0,"0",2.2,3.5,0,0,2.53,"2.53","mieszane",500,250,4.27388447605418,"MetLife ","zagraniczne","0.000138831","0.003693787","-0.006452447","1.619564211","-0.000267247","-0.084310866","0.000282607","0.002427937","-0.006991753","1.213799042","7.62371E-05","0.026242386",2004-06-18,"0.070086549","0.034707854","0.927140527","0.604556277",0.841025641025641,0.770939092025641,0.02125659856955,0.0927730819011908,14.158904109589
"169","Metlife Subfundusz Zrównowa¿ony Azjatycki","2.5","3.21","4.06","mieszane",500,250,2.09186406167839,"3",0,"0",2.5,3,0,0,3.12,"3.96","mieszane",500,250,2.24070968927596,"MetLife ","zagraniczne","0.00016857","0.006726356","-0.013773268","3.443316915","-8.03283E-05","0.027740562","0.000521097","0.003795063","-0.014040878","1.983747454","0.000245903","0.047916506",2007-01-10,"0.129232124","0.041973826","1.681589093","0.944970667",0.160493827160494,0.0312617031604939,0.0160406761153987,0.121942540677826,11.5945205479452
"170","Millennium FIO S Absolute Return","3.5","3.62","3.63","absolutnej stopy zwrotu",500,500,4.85515039125586,"2",0,"0",3.5,1.5,0,0,3.81,"4.56","absolutnej stopy zwrotu",500,500,4.28496492183075,"Millennium","zagraniczne","-6.12193E-06","0.00273663","-0.004917268","1.234234297","0.000230954","0.081763467","-2.59763E-05","0.002005719","-0.005396477","0.860489329","-7.03055E-05","-0.023425978",2005-02-28,"-0.006468108","-0.001530482","0.686894063","0.501429833",-0.434579439252336,-0.428111331252336,-0.0240655479358831,-0.0408194859040228,13.4602739726027
"171","Millennium FIO S Akcji","4","4.19","4.18","akcji",500,500,5.64155239812007,"2",0,"0",4,1.5,0,0,4.15,"4.41","akcji ",500,500,5.42186155263949,"Millennium","polskie","0.000306788","0.008503324","-0.015205959","3.816695731","-0.000451925","-0.05647815","0.000389108","0.00623962","-0.015921069","2.929198016","-4.33134E-05","0.042146095",2002-01-03,"0.096887889","0.076696938","2.13433441","1.559904937",-0.19723306136928,-0.29412095036928,0.0289068750009049,0.0531365002019992,16.6164383561644
"172","Millennium FIO S Cyklu Koniunkturalnego","4","4.19","4.19","mieszane",500,500,5.36597601502185,"2",0,"0",3.5,1.5,0,0,4.18,"4.66","mieszane",500,500,5.13756158766864,"Millennium","zagraniczne","0.000171557","0.005191671","-0.01105762","2.775462521","-0.000239179","-0.032496604","0.000162478","0.003102898","-0.010709247","1.531721304","-0.00021159","0.020607428",2002-01-03,"0.04045695","0.042889242","1.303109368","0.775724602",-0.204205607476635,-0.244662557476635,0.0214020731374253,0.0341061117976506,16.6164383561644
"173","Millennium FIO S Depozytowy","1","1.19","1.05","pieniê¿ne",500,500,7.25996024744942,"1",0,"0",1,0.6,0,0,1.06,"1.55","gotówkowe i pieniê¿ne ",500,500,7.41577697541539,"Millennium","polskie","8.04501E-05","0.000271704","-0.000489351","0.122827013","4.58359E-05","0.012751422","0.000106877","0.00019508","-0.000499303","0.096931436","7.47793E-05","0.019274712",2002-01-03,"0.026612292","0.020112536","0.068197587","0.048770064",0.168612009562649,0.141999717562649,0.0749665233756731,0.258607247265454,16.6164383561644
"174","Millennium FIO S Dynamicznych Spó³ek","4","4.26","4.26","akcji",500,500,4.74927052996185,"2",0,"0",4,1.5,0,0,4.23,"4.26","akcji ",500,500,4.32545628318549,"Millennium","polskie","0.000579209","0.006653866","-0.012632151","3.170669875","0.000215842","0.153258821","9.64807E-05","0.004605646","-0.012362602","2.243529523","0.000575439","0.115585556",2007-04-10,"0.024023695","0.144802248","1.670120266","1.151411556",-0.345454545454546,-0.369478240454546,0.0777202999343761,0.00870557095572524,11.3479452054795
"175","Millennium FIO S Instrumentów D³u¿nych","1.9","1.9","1.9","d³u¿ne",500,500,4.54648118963941,"1",0,"0",1.9,0.6,0,0,2.05,"2.56","d³u¿ne ",500,500,4.92435092549924,"Millennium","zagraniczne","0.000128614","0.001607043","-0.002910119","0.730439915","-5.49719E-05","0.000489378","0.000174631","0.000630565","-0.002494369","0.501302372","0.000137702","0.01504269",2014-09-15,"0.043483087","0.032153385","0.403367864","0.157641159",0.459172852598091,0.415689765598091,0.0425254129813376,0.187026581046641,3.90958904109589
"176","Millennium FIO S Obligacji Korporacyjnych","1.7","1.71","1.72","d³u¿ne",500,500,7.51447273154369,"1",0,"0",1.7,0.6,0,0,1.84,"2.08","d³u¿ne ",500,500,7.59160941263049,"Millennium","polskie","0.000153439","0.001022414","-0.0016785","0.421303537","3.75985E-05","0.006690363","0.000139585","0.000383456","-0.001986176","0.266738349","8.403E-05","0.025358241",2005-02-28,"0.034756578","0.038359636","0.256625994","0.095864116",0.0801897078063672,0.0454331298063671,0.0910259932592799,0.216520830380369,13.4602739726027
"177","Millennium FIO S Stabilnego Wzrostu","3","3.16","3.18","mieszane",500,500,4.99382817577987,"2",0,"0",3,1.5,0,0,3.17,"3.29","mieszane",500,500,4.85592890433527,"Millennium","zagraniczne","0.000135724","0.003119857","-0.005812518","1.458941963","-0.000151789","-0.02356911","0.000188046","0.00222148","-0.005951926","1.055065783","0.000110903","0.01329843",2004-02-05,"0.046823409","0.033930924","0.783084091","0.555369997",-0.128813559322034,-0.175636968322034,0.0241748290095195,0.0591018765459165,14.5260273972603
"178","Millennium SFIO S Globalny Akcji","3.5","3.75","3.78","akcji",500,500,3.72810016726722,"2",0,"0",3.5,1.5,0,0,3.81,"7.41","akcji ",500,500,3.78418963391826,"Millennium","zagraniczne","2.58065E-05","0.007353654","-0.013337298","3.347661756","0.000164552","-0.018793894","0.00051221","0.003195651","-0.014929372","1.880268902","-0.000903485","-0.123957515",2005-08-22,"0.127540339","0.006451635","1.845767227","0.798912786",0.0576923076923077,-0.0698480313076923,-0.00463133426303922,0.142118565367409,12.9808219178082
"179","Millennium SFIO S Globalny Stabilnego Wzrostu","3.5","3.61","3.64","mieszane",500,500,4.87519732320115,"2",0,"0",3.5,1.5,0,0,3.64,"4.9","mieszane",500,500,4.70320392625946,"Millennium","zagraniczne","6.4851E-05","0.003633264","-0.006858456","1.721472434","0.000103434","-0.005493792","0.000202733","0.001499644","-0.007758352","0.870676776","-8.41812E-05","-0.039350718",2005-08-22,"0.050480417","0.016212748","0.911949211","0.374910999",-0.158015267175573,-0.208495684175573,0.0013298416023302,0.0973042057909856,12.9808219178082
"180","Millennium SFIO S Globalny Strategii Alternatywnych","2.5","3.06","3.12","mieszane",500,500,2.86789890204411,"2",0,"0",2.5,1.5,0,0,3.19,"4.3","mieszane",500,500,2.66722820658195,"Millennium","zagraniczne","1.71386E-05","0.004392741","-0.008029375","2.015373203","-0.000252766","-0.073064347","7.8258E-05","0.00204696","-0.00911447","1.168765932","-0.000157574","-0.048771384",2005-08-22,"0.019486233","0.004284656","1.102578046","0.511739989",-0.181818181818182,-0.201304414818182,-0.00971844491088298,0.0107207431858525,12.9808219178082
"181","Millennium SFIO S Konserwatywny","2.5","","2.5","mieszane",500,500,2.55722731136763,"1",0,"0",2.5,0.8,0,0,2.08,"2.24","mieszane",500,500,2.87919845729804,"Millennium","zagraniczne",NA,NA,NA,NA,NA,NA,"6.0297E-05","0.001004519","-0.001136604","0.382182569","-0.000107133","-0.026465751",2016-12-07,"0.015013953",NA,NA,"0.251129769",0.37984496124031,0.36483100824031,NA,0.00403756593269514,1.67945205479452
"182","NN (L) Ameryki £aciñskiej","2.5","2.5","2.98","akcji",200,50,3.24649099190117,"5",0,"0",2.5,5,0,0,2.51,"2.96","akcji ",200,50,2.97552956623647,"NN","zagraniczne","0.000962129","0.016102656","-0.025404492","6.376527469","-0.001661293","-0.463324941","0.000591716","0.011982445","-0.02829426","5.70024973","0.001315765","0.343882666",2009-11-23,"0.144378814","0.240532329","4.041766773","2.935698996",-0.237354085603113,-0.381732899603113,0.0558004312635285,0.0444115061447533,8.72328767123288
"183","NN (L) Depozytowy","0.75","0.75","0.75","pieniê¿ne",200,50,5.12098335126512,"0",0,"0",0.75,0,0,0,0.75,"0.75","gotówkowe i pieniê¿ne ",200,50,5.18850250054083,"NN","polskie","3.5562E-05","0.000254477","-0.00059563","0.149503069","4.40055E-05","0.011661666","6.16843E-05","0.001220977","-0.000530606","0.35362352","3.28377E-05","0.008071085",2011-08-02,"0.015050961","0.008890512","0.063873714","0.299139247",0.0698507462686566,0.0547997852686566,-0.0956494873618904,0.00351328356456015,7.03287671232877
"184","NN (L) Dynamiczny Globalnej Alokacji","2.5","2.47","2.89","absolutnej stopy zwrotu",200,50,3.87743156065853,"5",0,"0",2.5,5,0,0,2.45,"2.87","absolutnej stopy zwrotu",200,50,3.37416870927424,"NN","zagraniczne","5.60022E-05","0.007622554","-0.018333087","4.601604775","0.000323321","0.09484727","0.000144041","0.003213909","-0.019089777","1.591635221","-0.003881614","-0.084751143",2010-10-15,"0.035145994","0.014000548","1.913260957","0.787407775",-0.395445134575569,-0.430591128575569,-0.00052238143278016,0.0268552009154342,7.83013698630137
"185","NN (L) Europejski Spó³ek Dywidendowych","2.5","2.48","2.93","akcji",200,50,5.32105685351753,"5",0,"0",2.5,5,0,0,2.49,"2.93","akcji ",200,50,4.99518318953733,"NN","zagraniczne","9.64902E-05","0.013737392","-0.023964055","6.014977856","-0.000155957","-0.039854288","0.000311889","0.006294647","-0.027049688","3.699082439","-0.000551799","-0.175752899",2009-11-23,"0.076100993","0.024122555","3.448085452","1.542188551",-0.278103616813294,-0.354204609813294,0.00264568704198112,0.0402680936515395,8.72328767123288
"186","NN (L) Globalny D³ugu Korporacyjnego","1.8","1.78","2.18","d³u¿ne",200,50,6.39442652499803,"2",0,"0",1.8,1.5,0,0,1.79,"2.19","d³u¿ne ",200,50,6.12599544006559,"NN","zagraniczne","0.00060545","0.003543941","-0.005859598","1.470759149","-0.000286432","-0.127753189","0.000173895","0.00316399","-0.007233261","1.327000034","0.000471618","0.15632084",2009-11-23,"0.04243026","0.151362474","0.889529154","0.775177564",-0.235421888053467,-0.277852148053467,0.153297363427394,0.0366758034808138,8.72328767123288
"187","NN (L) Globalny Spó³ek Dywidendowych","2.5","2.49","2.93","akcji",200,50,6.52179863726202,"5",0,"0",2.5,5,0,0,2.43,"2.92","akcji ",200,50,6.16981991563206,"NN","zagraniczne","0.000489841","0.010662952","-0.020685863","5.19215155","1.25473E-05","0.014275652","7.65347E-05","0.005739367","-0.022820122","2.929150714","-4.00253E-05","0.002128999",2009-11-23,"0.018674469","0.122460169","2.676400985","1.406144896",-0.296704913209767,-0.315379382209767,0.0401509974037018,0.00332431530583886,8.72328767123288
"188","NN (L) Japonia","2.5","2.5","3.2","akcji",200,50,5.31419071570433,"5",0,"0",2.5,5,0,0,2.48,"3.18","akcji ",200,50,5.35894198836447,"NN","zagraniczne","-0.000161554","0.016728396","-0.027211344","6.830047405","-0.000108865","-0.010368383","0.000810561","0.006910695","-0.033971728","4.325746924","-0.001915982","-0.21615713",2009-11-23,"0.197776781","-0.040388412","4.198827341","1.693120375",0.0457677165354331,-0.152009064464567,-0.0131914002414799,0.108543245780738,8.72328767123288
"189","NN (L) Lokacyjny Plus","1","1","1.01","pieniê¿ne",200,50,6.69703424766648,"0",0,"0",1,0,0,0,1,"1","gotówkowe i pieniê¿ne ",200,50,7.41788065763373,"NN","polskie","9.65961E-05","0.000737119","-0.001137233","0.285445465","2.36732E-05","0.009390812","0.00016645","0.002478118","-0.001348875","0.751316623","0.000103493","0.006661783",2008-08-07,"0.04061391","0.024149017","0.18501675","0.607138876",1.05617283950617,1.01555892950617,0.0494496687462081,0.0438349627277038,10.0191780821918
"190","NN (L) Nowej Azji","2.5","2.38","2.98","akcji",200,50,3.44998754583159,"5",0,"0",2.5,5,0,0,2.45,"2.96","akcji ",200,50,3.60277675506052,"NN","zagraniczne","0.000765476","0.01211546","-0.023564034","5.891008531","-0.000154032","-0.046309515","-0.000249424","0.00799507","-0.024322064","3.961934977","0.00017717","0.0850646",2009-11-23,"-0.062106469","0.19060347","3.028865096","1.998767467",0.165079365079365,0.227185834079365,0.0579766560854449,-0.0380766998945756,8.72328767123288
"191","NN (L) Obligacji Rynków Wschodzacych (Waluta Lokalna)","1.8","1.79","2.17","d³u¿ne",200,50,4.94092788167144,"2",0,"0",1.8,1.5,0,0,1.8,"2.17","d³u¿ne ",200,50,4.82671245593533,"NN","zagraniczne","0.000292441","0.00766518","-0.011742531","2.947375269","-0.000785221","-0.200577046","0.000488671","0.006461223","-0.012634188","2.942222305","0.000664365","0.119268989",2012-01-23,"0.11923577","0.07311017","1.923960064","1.582999599",-0.107934238741959,-0.227170008741959,0.0302034179852914,0.0664787091964387,6.55616438356164
"192","NN (L) Obligacyjny Globalnej Alokacji","1.4","1.52","1.68","d³u¿ne",200,50,2.43361335540045,"2",0,"0",1.4,1.5,0,0,1.42,"1.7","d³u¿ne ",200,50,1.82454929205105,"NN","zagraniczne","0.000144484","0.003274836","-0.005073793","1.273522098","-3.68554E-05","-0.005591798","-0.000131591","0.005971991","-0.005862114","1.993725433","0.00019304","0.044445987",2012-11-20,"-0.032108168","0.036121099","0.821983718","1.463137803",-0.456140350877193,-0.424032182877193,0.02569527660644,-0.0315132094225577,5.72876712328767
"193","NN (L) Spó³ek Dywidendowych Rynków Wschodz¹cych","2.5","2.41","2.97","akcji",200,50,4.73180283692146,"5",0,"0",2.5,5,0,0,2.45,"2.97","akcji ",200,50,4.40671924726425,"NN","zagraniczne","0.000714035","0.01150289","-0.022117568","5.551509458","-0.000703214","-0.140701093","0.000431146","0.007026266","-0.025301082","3.278839846","-0.000129552","0.126840538",2009-11-23,"0.105199731","0.178508865","2.887225458","1.721435216",-0.277533039647577,-0.382732770647577,0.0566318312783456,0.0529788923523451,8.72328767123288
"194","NN (L) Spó³ek Dywidendowych USA","2.5","2.46","2.91","akcji",200,50,4.26267987704132,"5",0,"0",2.5,5,0,0,2.45,"2.92","akcji ",200,50,4.36691299686383,"NN","zagraniczne","0.000640351","0.008974804","-0.017137729","4.30157","-0.000463393","-0.09795257","0.000443413","0.011666112","-0.019140264","4.104329055","0.000568624","0.129963968",2009-11-23,"0.108192884","0.160087658","2.252675901","2.85819744",0.109859154929577,0.00166627092957743,0.0644068052291025,0.032955345450173,8.72328767123288
