"","Nazwa","Nazwa_IZFiA","OB","TFI","Data_utworzenia","PW","NW","Aktywa","Profil","OZZ","OZN","OZU","OZW","TER","mean_daily_log_rr","std_daily_log_rr","var_5","var_95","es","eg","yearly_rr","yearly_std","Lokalizacja","Rok","sr","Wiek","Name_time"
"346","Amundi Globalnych Perspektyw Konserwatywny","",1.33,"Amundi","2014-03-05",500,100,"55.2","mieszane",1,"5",0,"20",NA,"0.000160411","0.000968297","-0.002138569","0.663062358","-0.000122829","-0.029371016","0.039942401","0.242074264","zagraniczne","2018",0.107167117112458,4.44292237442922,"Amundi Globalnych Perspektyw Konserwatywny2018"
"347","Amundi P³ynnoœciowy","Amundi Subfundusz P³ynnoœciowy",0.72,"Amundi","2014-03-05",500,100,"927.9","pieniê¿ne",0.5,"5",0,"0","0.52","8.29255E-05","0.000144026","-0.000357526","0.061020279","5.60411E-05","0.012652693","0.02064845","0.036006562","polskie","2018",0.184645509893447,4.44292237442922,"Amundi P³ynnoœciowy2018"
"348","Amundi Globalnych Perspektyw Umiarkowany 1","",2.28,"Amundi","2014-03-05",500,100,"122.2","mieszane",2,"5",0,"20",NA,"0.000241166","0.002134558","-0.006553334","1.182364932","-5.9935E-05","0.003285927","0.060050233","0.533639621","zagraniczne","2018",0.0862946287865683,4.44292237442922,"Amundi Globalnych Perspektyw Umiarkowany 12018"
"349","ING BSK Indeks MSCI EMU","ING BSK Indeks MSCI EMU",1.84,"ING BSK Fundusze Indeksowe","2015-11-23",100,50,"5.5","akcji",1.6,"0",0,"0","1.85","0.000530992","0.006303803","-0.029292205","3.563371468","-0.00081249","-0.171395737","0.123190091","1.468786133","zagraniczne","2018",0.0743403607555709,2.72237442922374,"ING BSK Indeks MSCI EMU2018"
"350","ING BSK Indeks S&P 500","ING BSK Indeks S&P 500",1.84,"ING BSK Fundusze Indeksowe","2015-11-23",100,50,"12.3","akcji",1.6,"0",0,"0","1.85","0.000757256","0.004208778","-0.018014371","2.190040063","0.000477855","0.067449036","0.175683315","0.980645364","zagraniczne","2018",0.164874398977937,2.72237442922374,"ING BSK Indeks S&P 5002018"
"351","ING BSK Indeks WIG 20","ING BSK Indeks WIG 20",1.85,"ING BSK Fundusze Indeksowe","2015-11-23",100,50,"10.9","akcji",1.6,"0",0,"0","1.85","0.000977872","0.009552493","-0.023096536","4.188522108","4.12673E-05","0.057519806","0.226866359","2.225730787","polskie","2018",0.0956388617362464,2.72237442922374,"ING BSK Indeks WIG 202018"
"352","AXA Akcji","AXA FIO Subfundusz Akcji",4.25,"AXA","2010-07-05",100,100,"271.9","akcji",4,"5",0,"0","4.25","0.000646856","0.006723324","-0.016138274","3.123529473","-3.87324E-05","0.041542635","0.161067025","1.680830985","polskie","2018",0.0874966170379112,8.1115296803653,"AXA Akcji2018"
"353","AXA Akcji Ma³ych i Œrednich Spó³ek","AXA FIO Subfundusz Akcji Ma³ych I Œrednich Spó³ek",4.19,"AXA","2014-03-11",100,100,"115.2","akcji",4,"5",0,"0","4.19","0.000598531","0.005363785","-0.014593699","2.65064815","-0.00014704","0.100380926","0.149034286","1.340946316","polskie","2018",0.100700739760263,4.42659817351598,"AXA Akcji Ma³ych i Œrednich Spó³ek2018"
"354","AXA Lokacyjny","AXA FIO Subfundusz Lokacyjny",0.9,"AXA","2010-07-05",100,100,"348.9","pieniê¿ne",0.8,"0",0,"0","0.88","9.78331E-05","0.000193903","-0.000476436","0.079283636","8.39034E-05","0.015621172","0.024360442","0.048475694","polskie","2018",0.213724469834305,8.1115296803653,"AXA Lokacyjny2018"
"355","AXA Makro Alokacji","AXA FIO Subfundusz Makro Alokacji",3.98,"AXA","2010-07-05",100,100,"104.5","mieszane",3.75,"4",0,"0","4.13","0.000413945","0.003896709","-0.009049345","1.761450435","1.44346E-05","-0.008212542","0.103072185","0.974177302","zagraniczne","2018",0.0914332378891743,8.1115296803653,"AXA Makro Alokacji2018"
"356","AXA Obligacji","AXA FIO Subfundusz Obligacji",1.58,"AXA","2010-07-05",100,100,"451.4","d³u¿ne",1.5,"2",0,"0","1.58","0.000139398","0.001016327","-0.002514959","0.546134605","1.34719E-05","-0.000695619","0.034710149","0.254081795","polskie","2018",0.081509771292351,8.1115296803653,"AXA Obligacji2018"
"357","AXA Obligacji Korporacyjnych","AXA FIO Subfundusz Obligacji Korporacyjnych",1.67,"AXA","2010-07-05",100,100,"80.9","d³u¿ne",1.5,"2",0,"0","1.5","6.914E-05","0.000219791","-0.00084655","0.130378187","7.67491E-05","0.029438051","0.01721585","0.054947688","polskie","2018",0.0585256653564751,8.1115296803653,"AXA Obligacji Korporacyjnych2018"
"358","AXA Selective Equity","AXA FIO Subfundusz Selective Equity",4.17,"AXA","2010-07-05",100,100,"146","akcji",4,"5",0,"0","4.51","0.001047108","0.006970274","-0.017595529","3.183439991","0.00033119","0.065183439","0.260729926","1.742568559","zagraniczne","2018",0.141589795549617,8.1115296803653,"AXA Selective Equity2018"
"359","AXA Selektywny Akcji Polskich","AXA FIO Subfundusz Sektywny Akcji Polskich",4.3,"AXA","2010-07-05",100,100,"92.5","akcji",4,"5",0,"0","4.3","0.000746513","0.00632233","-0.015933707","2.98803439","9.40083E-05","0.059140227","0.185881717","1.580582559","polskie","2018",0.108745801363736,8.1115296803653,"AXA Selektywny Akcji Polskich2018"
"360","AXA Stabilnego Wzrostu","AXA FIO Subfundusz Stabilnego Wzrostu",3.54,"AXA","2010-07-05",100,100,"112.2","mieszane",3.25,"3.5",0,"0","3.75","0.000240915","0.003243716","-0.006403249","1.461395912","5.24324E-05","0.019494105","0.059987746","0.81092902","zagraniczne","2018",0.0567099522471153,8.1115296803653,"AXA Stabilnego Wzrostu2018"
"361","ALTUS Absolutnej Stopy Zwrotu D³u¿ny","Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwrotu D³u¿ny",1.59,"Altus","2012-09-28",1000,100,"467.8","absolutnej stopy zwrotu",1.5,"2",0,"20","3","0.000222414","0.000846392","-0.00327477","0.483568554","0.000332917","0.053707632","0.055158787","0.210751584","zagraniczne","2018",0.195295267626553,5.87591324200913,"ALTUS Absolutnej Stopy Zwrotu D³u¿ny2018"
"362","ALTUS Absolutnej Stopy Zwrotu Nowej Europy","Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwrotu Nowej Europy",4.04,"Altus","2014-04-14",1000,100,"34.4","absolutnej stopy zwrotu",3.6,"4",0,"20","5.59","0.000251326","0.002595748","-0.004982305","1.153825255","0.000187222","0.039827981","0.062328957","0.646341211","zagraniczne","2018",0.0747731324840433,4.33344748858447,"ALTUS Absolutnej Stopy Zwrotu Nowej Europy2018"
"363","ALTUS Absolutnej Stopy Zwrotu Rynku Polskiego","Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwotu Rynku Polskiego",3.83,"Altus","2012-09-28",1000,100,"125.7","absolutnej stopy zwrotu",3.6,"4",0,"20","3.97","8.07061E-05","0.002333401","-0.004596751","1.000590363","0.00023478","0.060385822","0.020015112","0.58101687","zagraniczne","2018",0.0103527320988115,5.87591324200913,"ALTUS Absolutnej Stopy Zwrotu Rynku Polskiego2018"
"364","ALTUS Akcji","Altus FIO Parasolowy Subfundusz Akcji",3.93,"Altus","2012-09-28",1000,100,"30.6","akcji",3.6,"4",0,"20","4.01","0.000668061","0.005640385","-0.013598367","2.494427543","0.000189815","0.113716091","0.165679167","1.404455855","polskie","2018",0.107998529437581,5.87591324200913,"ALTUS Akcji2018"
"365","ALTUS Aktywnego Zarz¹dzania","Altus FIO Parasolowy Subfundusz Aktywnego Zarz¹dzania",4.1,"Altus","2013-08-30",1000,100,"9.1","mieszane",3,"3.25",0,"20","4.13","0.00024842","0.0031063","-0.006169173","1.434412532","0.000221664","0.055432881","0.061608081","0.773468709","zagraniczne","2018",0.0615513988426906,4.95536529680365,"ALTUS Aktywnego Zarz¹dzania2018"
"366","ALTUS Optymalnego Wzrostu","Altus FIO Parasolowy Subfundusz Optymalnego Wzrostu",3.93,"Altus","2014-04-14",1000,100,"10.6","absolutnej stopy zwrotu",2.8,"3",0,"20","4","-7.32738E-06","0.002739984","-0.003876813","1.180610665","2.66387E-05","0.000450496","-0.001817191","0.682256022","zagraniczne","2018",-0.0231836590516749,4.33344748858447,"ALTUS Optymalnego Wzrostu2018"
"367","ALTUS Pieniê¿ny","Altus FIO Parasolowy Subfundusz Pieniê¿ny",1.08,"Altus","2013-11-22",1000,100,"196.9","pieniê¿ne",0.95,"0",0,"20","1.42","9.51686E-05","0.000424451","-0.001392038","0.246284031","9.72694E-05","0.02191823","0.023601812","0.105688363","polskie","2018",0.0908502291780222,4.72511415525114,"ALTUS Pieniê¿ny2018"
"368","ALTUS Short","Altus FIO Parasolowy Subfundusz Short",5.4,"Altus","2012-09-28",1000,100,"13.6","akcji",3.6,"4",0,"20","3.71","-0.000723329","0.007062405","-0.014845067","3.229478072","-0.000285916","-0.093485604","-0.179385542","1.758538822","polskie","2018",-0.109969447123187,5.87591324200913,"ALTUS Short2018"
"369","ALTUS Stabilnego Wzrostu","Altus FIO Parasolowy Subfundusz Stabilnego Wzrostu",3.72,"Altus","2013-05-31",1000,100,"12.4","mieszane",2.8,"3",0,"20","3.73","5.49158E-05","0.002010775","-0.004212981","0.932337885","7.13701E-05","0.029497709","0.013619128","0.500683056","zagraniczne","2018",-0.000760704792055118,5.2046803652968,"ALTUS Stabilnego Wzrostu2018"
