"","Nazwa","Nazwa_IZFiA","OB","TFI","Data_utworzenia","PW","NW","Aktywa","Profil","OZZ","OZN","OZU","OZW","TER","mean_daily_log_rr","std_daily_log_rr","var_5","var_95","es","eg","yearly_rr","yearly_std","Lokalizacja","Rok","sr","Wiek","Name_time"
"500","Investor Akcji Spó³ek Wzrostowych","Investor Akcji Spó³ek Wzrostowych",4.64,"Investor","2015-03-16",50,50,"15.5","akcji",4,"5",0,"25","7.34","0.000695991","0.006441534","-0.019391323","2.813985012","0.000647607","0.091047857","0.17330169","1.610383517","zagraniczne","2018",0.0989215850251403,3.412899543379,"Investor Akcji Spó³ek Wzrostowych2018"
"501","Investor Ameryka £aciñska","Investor Ameryka £aciñska",4.9,"Investor","2008-10-07",50,50,"8.5","akcji",4,"5",0,"0","4.22","0.000265175","0.013002873","-0.026392229","6.07209362","0.001589566","0.381610278","0.066028464","3.250718215","zagraniczne","2018",0.016005221172331,9.85399543378995,"Investor Ameryka £aciñska2018"
"502","Investor BRIC","Investor BRIC",4.74,"Investor","2008-01-28",50,50,"15.8","akcji",4,"5",0,"0","4.06","0.000633308","0.007532016","-0.021385724","3.494334563","0.000768033","0.138375108","0.157693642","1.88300411","zagraniczne","2018",0.0763108488382428,10.5470319634703,"Investor BRIC2018"
"503","Investor Bezpiecznego Wzrostu","Investor Bezpiecznego Wzrostu",1.01,"Investor","2015-03-16",50,50,"210.1","mieszane",1,"0",0,"10","1","0.000130809","0.000222505","-0.01684748","1.56697575","-0.00029775","-0.184071641","0.032571347","0.055626242","zagraniczne","2018",0.333859457915564,3.412899543379,"Investor Bezpiecznego Wzrostu2018"
"504","Investor Gold Otwarty","Investor Gold Otwarty",4.35,"Investor","2008-10-07",50,50,"266.3","rynku surowców",4,"5",0,"0","4.05","3.31275E-05","0.005519534","-0.018345828","3.426243481","0.001152848","0.340011478","0.008248756","1.379883553","zagraniczne","2018",-0.00416791981286844,9.85399543378995,"Investor Gold Otwarty2018"
"505","Investor Gotówkowy","Investor Gotówkowy",0.99,"Investor","2008-01-28",50,50,"50.6","pieniê¿ne",0.8,"0",0,"0","0.99","0.00011022","0.000320544","-0.000778458","0.131419754","3.36699E-05","0.007643914","0.027444676","0.08013599","polskie","2018",0.167773256435716,10.5470319634703,"Investor Gotówkowy2018"
"506","Investor Indie i Chiny","Investor Indie i Chiny",4.59,"Investor","2008-10-07",50,50,"32.7","akcji",4,"5",0,"0","4.13","0.000489262","0.007224916","-0.022700514","3.131799454","-0.000529329","-0.04789887","0.121826193","1.80622908","zagraniczne","2018",0.0596968536239047,9.85399543378995,"Investor Indie i Chiny2018"
"507","Investor Niemcy","Investor Niemcy",4.88,"Investor","2008-10-07",50,50,"33","akcji",4,"5",0,"0","4.19","0.000586677","0.006994756","-0.025011608","3.494267751","-0.000101711","0.025256751","0.14608255","1.748689119","zagraniczne","2018",0.0755323222206199,9.85399543378995,"Investor Niemcy2018"
"508","Investor Sektora Nieruchomoœci i Budownictwa","Investor Sektora Nieruchomoœci i Budownictwa",4.87,"Investor","2008-01-28",50,50,"5","akcji",4,"5",0,"0","4.31","-0.000182883","0.005818325","-0.014152856","2.737946939","-5.66432E-05","0.026931245","-0.045537987","1.454581133","zagraniczne","2018",-0.0409313620596782,10.5470319634703,"Investor Sektora Nieruchomoœci i Budownictwa2018"
"509","Investor Nowych Technologii","Investor Nowych Technologii",4.15,"Investor","2008-01-28",50,50,"232.4","akcji",4,"5",0,"0","4.13","0.000927998","0.006551445","-0.017990719","2.639972071","0.000712369","0.179295869","0.231071473","1.637861157","zagraniczne","2018",0.132533500823477,10.5470319634703,"Investor Nowych Technologii2018"
"510","Investor Obligacji Korporacyjnych","Investor Obligacji Korporacyjnych",2.36,"Investor","2015-03-16",50,50,"1.2","d³u¿ne",1.5,"0.5",0,"25","2.74","5.14583E-05","0.00039927","-0.001073554","0.198185704","6.58189E-05","0.014378186","0.012813107","0.099817603","zagraniczne","2018",-0.0118906181307519,3.412899543379,"Investor Obligacji Korporacyjnych2018"
"511","Investor Obligacji Rynków Wschodz¹cych Plus","Investor Obligacji Rynków Wschodz¹cych Plus",2.48,"Investor","2015-03-16",50,50,"1","d³u¿ne",1.5,"0.5",0,"25","3.04","5.67002E-05","0.001256271","-0.003017416","0.79619712","0.000113407","0.031114168","0.01411836","0.314067791","zagraniczne","2018",0.00037686131272213,3.412899543379,"Investor Obligacji Rynków Wschodz¹cych Plus2018"
"512","Investor Rosja","Investor Rosja",4.65,"Investor","2008-10-07",50,50,"24.4","akcji",4,"5",0,"0","4.16","-0.000750801","0.010088176","-0.033264856","5.061471131","0.000778109","0.361217352","-0.186949564","2.522044053","zagraniczne","2018",-0.0796772616881804,9.85399543378995,"Investor Rosja2018"
"513","Investor Turcja","Investor Turcja",4.32,"Investor","2008-10-07",50,50,"44.6","akcji",4,"5",0,"0","4.12","0.000474409","0.011469364","-0.022578545","5.32103997","0.000326208","0.018550176","0.118127791","2.867340962","zagraniczne","2018",0.0363151060093564,9.85399543378995,"Investor Turcja2018"
"514","Ipopema Akcji","Subfundusz IPOPEMA AKCJI",3.98,"Ipopema","2011-12-06",20000,5000,"6.2","akcji",3.2,"4",0,"15","4.31","0.000342989","0.006031214","-0.016374767","2.857008402","0.000103015","0.079621775","0.085404157","1.507803568","polskie","2018",0.0473564053802531,6.68949771689498,"Ipopema Akcji2018"
"515","Ipopema D³u¿ny","Subfundusz IPOPEMA D³u¿ny",1.54,"Ipopema","2015-06-19",20000,5000,"158.3","d³u¿ne",1.25,"0.9",0,"20","2.09","0.000242635","0.001287331","-0.004635333","0.786256826","0.000159102","0.015550267","0.060416066","0.321832723","polskie","2018",0.144224196866395,3.15262557077626,"Ipopema D³u¿ny2018"
"516","Ipopema Emerytura Plus","",2.06,"Ipopema","2015-03-02",20000,5000,"79.1","mieszane",2,"4",0,"0",NA,"0.000726644","0.00569916","-0.016978667","3.06433559","0.000391189","0.174875952","0.180934233","1.424789894","zagraniczne","2018",0.117164105179988,3.45114155251142,"Ipopema Emerytura Plus2018"
"517","Ipopema Globalnych Megatrendów","Subfundusz IPOPEMA Globalnych Megatrendów",2.85,"Ipopema","2015-10-01",20000,5000,"26.5","akcji",3.2,"4",0,"20","3.44","0.000941108","0.005391934","-0.019140751","2.639730734","0.000476563","0.002078237","0.234335781","1.34798357","zagraniczne","2018",0.163455835741381,2.86769406392694,"Ipopema Globalnych Megatrendów2018"
"518","Ipopema Gotówkowy","Subfundusz IPOPEMA Gotówkowy",1.01,"Ipopema","2012-11-21",20000,5000,"238.5","pieniê¿ne",0.75,"0",0,"0","1.18","0.00013337","0.000344926","-0.000589394","0.171525529","6.20253E-05","0.014255354","0.033209125","0.086231583","polskie","2018",0.222762059232984,5.72785388127854,"Ipopema Gotówkowy2018"
"519","Ipopema Makro Alokacji","Subfundusz IPOPEMA MAKRO ALOKACJI",2.83,"Ipopema","2011-12-06",20000,5000,"20.3","absolutnej stopy zwrotu",2.2,"3",0,"10","3.44","0.000110266","0.001162494","-0.006273291","0.647453922","-4.61233E-05","-0.028232566","0.027456336","0.290623388","zagraniczne","2018",0.0463016280024924,6.68949771689498,"Ipopema Makro Alokacji2018"
"520","Ipopema Portfel Polskich Funduszy","",3.62,"Ipopema","2012-11-21",20000,5000,"3.5","mieszane",NA,NA,NA,"0",NA,"2.13829E-05","0.004562904","-0.016353788","2.242898813","0.000146525","0.001839499","0.005324342","1.140725884","zagraniczne","2018",-0.00760538366112853,5.72785388127854,"Ipopema Portfel Polskich Funduszy2018"
"521","Ipopema Obligacji","Subfundusz IPOPEMA OBLIGACJI",1.74,"Ipopema","2011-12-06",20000,5000,"278.7","d³u¿ne",1.5,"0.9",0,"0","1.82","0.000192461","0.00105896","-0.001550386","0.619796696","4.23014E-05","0.006998907","0.047922737","0.264740048","polskie","2018",0.128136023454978,6.68949771689498,"Ipopema Obligacji2018"
"522","Ipopema Short Equity","Subfundusz IPOPEMA Short Equity",3.73,"Ipopema","2012-12-21",160000,5000,"45.3","akcji",3.2,"3",0,"0","4.33","-0.001108928","0.010113658","-0.019680806","4.444571865","-0.000616031","-0.15418922","-0.276123081","2.528414494","polskie","2018",-0.114745063235664,5.64566210045662,"Ipopema Short Equity2018"
"523","Ipopema m-INDEKS FIO kategoria A","IPOPEMA m-Indeks FIO",2.77,"Ipopema","2010-06-01",20000,100,"19.7","akcji",2,"4",0,"0","3.15","0.000545753","0.006353209","-0.017660025","3.14189987","4.99631E-05","0.158801463","0.13589244","1.588302341","polskie","2018",0.076743852132873,8.2046803652968,"Ipopema m-INDEKS FIO kategoria A2018"
"524","DELTA","KBC DELTA",4.12,"GAMMA","2011-07-29",160000,1000,"1.4","d³u¿ne",0.99,"0.8",0,"0","3.77","5.51582E-05","0.000978576","-0.00282452","0.58964063","7.73479E-06","-0.001014108","0.013734383","0.244644113","polskie","2018",-0.00108572814911758,7.04577625570776,"DELTA2018"
"525","GAMMA","KBC GAMMA",0,"GAMMA","2001-03-29",160000,1000,"1407.9","pieniê¿ne",0.79,"0.8",0,"0","1","0.000169876","0.000474799","-0.001076233","0.243208311","0.000122464","0.028907052","0.042299217","0.118699787","polskie","2018",0.238410006582404,17.3853881278539,"GAMMA2018"
"526","GAMMA Akcji Ma³ych i Œrednich Spó³ek","KBC Subfundusz Akcji Ma³ych i Œrednich Spó³ek",4.61,"GAMMA","2007-09-27",500,100,"28.7","akcji",4,NA,NA,"0","4.61","0.000277111","0.005176062","-0.012033173","2.470452469","0.000162407","0.052988372","0.06900054","1.294015485","polskie","2018",0.0425037726654407,10.8841324200913,"GAMMA Akcji Ma³ych i Œrednich Spó³ek2018"
"527","GAMMA Akcyjny","KBC Subfundusz AKCYJNY",4.47,"GAMMA","2006-10-25",500,100,"45.7","akcji",4,"4",0,"0","4.47","0.000537187","0.00669617","-0.01430217","3.070674675","0.000269021","0.101239806","0.133759625","1.674042462","polskie","2018",0.0715391799900473,11.8074200913242,"GAMMA Akcyjny2018"
"528","GAMMA Aktywny","KBC Subfundusz Aktywny",4.37,"GAMMA","2002-07-26",500,100,"32","mieszane",2.5,"3",0,"0","4.37","0.000300499","0.003688717","-0.00763996","1.736630761","0.000132795","0.037332901","0.074824366","0.922179213","zagraniczne","2018",0.0659572078209488,16.0594748858448,"GAMMA Aktywny2018"
"529","GAMMA Globalny Akcyjny","KBC Subfundusz Globalny Akcyjny",4.48,"GAMMA","2011-03-31",500,100,"6","akcji",3,"4",0,"0","4.61","2.47143E-05","0.004593221","-0.015922093","2.494011391","-0.000684594","-0.026064283","0.006153866","1.148305323","zagraniczne","2018",-0.00683279424282526,7.37454337899543,"GAMMA Globalny Akcyjny2018"
"530","GAMMA Globalny Obligacyjny","KBC Subfundusz Globalny Obligacyjny",2.79,"GAMMA","2012-04-04",500,100,"4","d³u¿ne",1,"1.5",0,"0","2.9","-0.00032091","0.003205244","-0.006208056","1.52771978","-1.38302E-05","0.011064296","-0.079906712","0.80131102","zagraniczne","2018",-0.117191339762181,6.36084474885845,"GAMMA Globalny Obligacyjny2018"
"531","GAMMA Obligacji Korporacyjnych","KBC Subfundusz Obligacji Korporacyjnych",1.67,"GAMMA","2011-05-11",500,100,"58.4","d³u¿ne",1.3,"0.75",0,"0","1.67","0.00010411","0.000684973","-0.001131229","0.283298714","0.000127662","0.030211092","0.025923389","0.171243249","polskie","2018",0.069628374079728,7.26221461187215,"GAMMA Obligacji Korporacyjnych2018"
"532","GAMMA Papierów D³u¿nych","KBC Subfundusz Papierów D³u¿nych",1.75,"GAMMA","2001-12-20",500,100,"95.8","d³u¿ne",1.4,"0.75",0,"0","1.75","0.000173608","0.000825377","-0.001433342","0.446699878","1.54435E-05","0.002757346","0.043228397","0.206344215","polskie","2018",0.141648734857917,16.6566210045662,"GAMMA Papierów D³u¿nych2018"
"533","GAMMA Pieniê¿ny","KBC Subfundusz Pieniê¿ny",1.18,"GAMMA","2002-07-26",500,100,"409.1","pieniê¿ne",0.9,"0",0,"0","1.18","0.000150421","0.000410199","-0.00099298","0.194654648","9.20099E-05","0.022988907","0.037454748","0.102549799","polskie","2018",0.228715689632897,16.0594748858448,"GAMMA Pieniê¿ny2018"
"534","GAMMA Stabilny","KBC Subfundusz Stabilny",2.93,"GAMMA","2001-12-20",500,100,"63.1","mieszane",2.5,"2.5",0,"0","2.93","0.000251663","0.002390648","-0.004492143","1.131056916","0.000121672","0.037444859","0.062664039","0.597662048","zagraniczne","2018",0.0814240073681239,16.6566210045662,"GAMMA Stabilny2018"
"535","GAMMA Portfel Akcji Œrednich Spó³ek","KBC PORTFEL AKCJI ŒREDNICH SPÓ£EK SFIO",5.84,"GAMMA","2007-11-19",500,100,"3.2","akcji",4,"4",0,"0","5.2","0.000402933","0.00605869","-0.014146675","2.983759782","0.000207397","0.150196512","0.100330261","1.514672435","polskie","2018",0.0569959939886276,10.7388127853881,"GAMMA Portfel Akcji Œrednich Spó³ek2018"
"536","GAMMA Portfel Akcyjny","KBC PORTFEL AKCYJNY SFIO",4.72,"GAMMA","2006-04-03",500,100,"9.7","akcji",4,"4",0,"0","4.72","0.000583839","0.007237467","-0.015447305","3.324371177","2.94422E-05","0.035081428","0.145376016","1.809366659","polskie","2018",0.0726088409701375,12.3690639269406,"GAMMA Portfel Akcyjny2018"
"537","GAMMA Portfel Obligacyjny","KBC PORTFEL OBLIGACYJNY SFIO",2.04,"GAMMA","2006-04-03",500,100,"7.5","d³u¿ne",1.35,"4",0,"0","2.04","0.000165931","0.001165031","-0.001779692","0.474862151","1.80211E-05","0.010348877","0.041316747","0.291257662","polskie","2018",0.0937889386751996,12.3690639269406,"GAMMA Portfel Obligacyjny2018"
"538","GAMMA Portfel Pieniê¿ny","KBC PORTFEL PIENIÊ¯NY SFIO",1.63,"GAMMA","2006-04-03",500,100,"8.1","pieniê¿ne",0.9,"4",0,"0","1.63","0.00017878","0.000847601","-0.001119229","0.288442589","0.000125928","0.026416316","0.0445163","0.211900359","polskie","2018",0.14401249787406,12.3690639269406,"GAMMA Portfel Pieniê¿ny2018"
"539","Esaliens Akcji","Esaliens Parasol FIO Subfundusz Akcji",3.61,"Esaliens","1999-01-04",100,100,"826.7","akcji",3.5,"4",0,"0","3.26","0.000667732","0.006009112","-0.01490558","2.718788925","0.00020446","0.071082538","0.166265162","1.502277959","polskie","2018",0.101356184511524,19.6182648401826,"Esaliens Akcji2018"
"540","Esaliens CEE Select","Esaliens Parasol FIO Subfundusz CEE Select",4.63,"Esaliens","2014-09-01",100,100,"3.8","akcji",3.5,"4",0,"20","0.96","0.00030207","0.004205357","-0.011670981","2.313717803","0.000343431","0.099292208","0.075215344","1.051339357","zagraniczne","2018",0.0582260557377764,3.94988584474886,"Esaliens CEE Select2018"
"541","Esaliens Obligacji","Esaliens Parasol FIO Subfundusz Obligacji",1.58,"Esaliens","1999-01-04",100,100,"165.2","d³u¿ne",1.5,"1",0,"0","1.38","0.000138456","0.000960434","-0.002725035","0.632711903","2.05797E-05","-0.008079056","0.034475637","0.240108595","polskie","2018",0.0852765682961079,19.6182648401826,"Esaliens Obligacji2018"
"542","Esaliens Pieniê¿ny","Esaliens Parasol FIO Subfundusz Pieniê¿ny",0.85,"Esaliens","1999-01-04",100,100,"569.8","pieniê¿ne",0.8,"0",0,"0","0.82","8.93295E-05","0.000207067","-0.000342265","0.069753392","4.51493E-05","0.010703215","0.022243043","0.051766732","polskie","2018",0.159234370831058,19.6182648401826,"Esaliens Pieniê¿ny2018"
"543","Esaliens Stabilny","Esaliens Parasol FIO Subfundusz Stabilny",3.16,"Esaliens","2014-09-01",100,100,"68.6","mieszane",2.6,"3",0,"10","1.75","0.000202768","0.00177137","-0.005385335","0.89826842","-2.12051E-05","0.009420143","0.050489227","0.442842573","zagraniczne","2018",0.0823977395687293,3.94988584474886,"Esaliens Stabilny2018"
"544","Esaliens Strateg","Esaliens Parasol FIO Subfundusz Strateg",3.67,"Esaliens","1999-01-04",100,100,"118.1","mieszane",3.5,"4",0,"0","2.81","0.000251816","0.003335185","-0.008897473","1.242671255","0.000211737","0.029508221","0.06270225","0.833796338","zagraniczne","2018",0.0584102469397029,19.6182648401826,"Esaliens Strateg2018"
"545","Esaliens Akcji Azjatyckich","Esaliens Akcji Azjatyckich",4.1,"Esaliens","2015-10-09",100,100,"12.3","akcji",2.5,"5.25",0,"0","3.18","0.000725744","0.003752962","-0.014192065","2.201293611","0.000547744","0.139366755","0.175630017","0.91196979","zagraniczne","2018",0.177231766635603,2.84577625570776,"Esaliens Akcji Azjatyckich2018"
"546","Esaliens Amerykañskich Spó³ek Wzrostowych","Esaliens Amerykañskich Spó³ek Wzrostowych",3.3,"Esaliens","2015-10-09",100,100,"3.2","akcji",2.5,"5.25",0,"0","2.55","0.000360265","0.006356514","-0.026764299","3.43137734","3.82904E-05","-0.057118384","0.087184082","1.544632798","zagraniczne","2018",0.0473795986300169,2.84577625570776,"Esaliens Amerykañskich Spó³ek Wzrostowych2018"
"547","Esaliens Europejskich Spó³ek Dywidendowych","",3.45,"Esaliens","2017-03-09",100,100,"0.3","akcji",2.5,"5.25",0,"0","2.53","0.000174136","0.004438513",NA,NA,NA,NA,"0.034304804","0.878825489","zagraniczne","2018",0.0231044777992323,1.42922374429224,"Esaliens Europejskich Spó³ek Dywidendowych2018"
"548","Esaliens Globalnych Papierów D³u¿nych","Esaliens Globalnych Papierów D³u¿nych",3.1,"Esaliens","2015-10-09",100,100,"20","d³u¿ne",2,"2.5",0,"0","2.47","0.000179616","0.001245742","-0.005440583","0.774565324","0.000471416","0.105380931","0.043467126","0.30271522","zagraniczne","2018",0.0973427302399926,2.84577625570776,"Esaliens Globalnych Papierów D³u¿nych2018"
"549","Esaliens Globalnych Zasobów","",5.33,"Esaliens","2016-09-19",100,100,"1.6","rynku surowców",2.7,"5.25",0,"0","2.73","0.000286013","0.008038213","-0.014974257","3.22331723","0.0012898","0.280992728","0.068643063","1.937209387","zagraniczne","2018",0.0282071021164219,1.89783105022831,"Esaliens Globalnych Zasobów2018"
"550","Esaliens Ma³ych Spó³ek Amerykañskich","Esaliens Ma³ych Spó³ek Amerykañskich",3.39,"Esaliens","2015-10-09",100,100,"3.6","akcji",2.5,"5.25",0,"0","2.49","0.000253486","0.006442246","-0.020803526","3.329840639","0.000704957","0.1285613","0.061343502","1.565465678","zagraniczne","2018",0.0302424401028612,2.84577625570776,"Esaliens Ma³ych Spó³ek Amerykañskich2018"
"551","Esaliens Okazji Rynkowych","Esaliens Okazji Rynkowych",3.33,"Esaliens","2015-10-09",100,100,"4","akcji",2.5,"5.25",0,"0","2.56","0.000379412","0.010522817","-0.033083283","4.979591053","-0.000401418","-0.165129199","0.089920645","2.504430373","zagraniczne","2018",0.0303145361190682,2.84577625570776,"Esaliens Okazji Rynkowych2018"
"552","Esaliens Senior FIO","Esaliens Senior FIO",2.57,"Esaliens","1999-04-12",100,100,"1060.3","mieszane",2.5,"3",0,"0","1.26","0.000189133","0.001491626","-0.004343924","0.740090145","9.99795E-06","0.009120801","0.047094177","0.372906561","zagraniczne","2018",0.0887465667304255,19.3498858447489,"Esaliens Senior FIO2018"
"553","MetLife Akcji","Metlife Subfundusz Akcji",4.3,"MetLife ","2004-06-18",500,250,"98.4","akcji",4,"4.5",0,"0","4.3","0.000531787","0.007527888","-0.018405101","3.335494232","8.37144E-05","0.112943011","0.131883131","1.874444004","polskie","2018",0.0628896519439585,14.1608447488584,"MetLife Akcji2018"
"554","MetLife Akcji Œrednich Spó³ek","Metlife Subfundusz Akcji Œrednich Spó³ek",4.28,"MetLife ","2006-11-14",500,250,"63.6","akcji",4,"4.5",0,"0","4.28","-0.000109786","0.006382379","-0.013777581","2.719673701","0.000829614","0.215233835","-0.027226813","1.589212421","polskie","2018",-0.0259416629616186,11.7525114155251,"MetLife Akcji Œrednich Spó³ek2018"
"555","MetLife Aktywnej Alokacji","Metlife Subfundusz Aktywnej Alokacji",3.54,"MetLife ","2004-06-18",500,250,"18.4","mieszane",3,"3.5",0,"0","3.54","0.00014239","0.004690639","-0.010232236","1.94355992","0.000413967","0.098545137","0.035312622","1.167969218","zagraniczne","2018",0.018247588781916,14.1608447488584,"MetLife Aktywnej Alokacji2018"
"556","MetLife Obligacji Skarbowych","Metlife Subfundusz Obligacji Skarbowych",1.74,"MetLife ","2004-06-18",500,250,"90.2","d³u¿ne",1.45,"1",0,"0","1.74","0.000133039","0.000783588","-0.001876711","0.516951835","2.34728E-05","0.008186848","0.032993669","0.195113518","polskie","2018",0.0973467609763461,14.1608447488584,"MetLife Obligacji Skarbowych2018"
"557","MetLife Pieniê¿ny","Metlife Subfundusz Pieniê¿ny",1.24,"MetLife ","2005-04-29",500,250,"506.4","pieniê¿ne",1,"0",0,"0","1.24","0.000128713","0.00044688","-0.000844256","0.171188636","4.16482E-05","0.01173375","0.031920807","0.111273152","polskie","2018",0.16105238934905,13.2978310502283,"MetLife Pieniê¿ny2018"
"558","MetLife Stabilnego Wzrostu","Metlife Subfundusz Stabilnego Wzrostu",2.53,"MetLife ","2004-06-18",500,250,"71.8","mieszane",2.2,"3.5",0,"0","2.53","0.000282607","0.002427937","-0.006991753","1.213799042","7.62371E-05","0.026242386","0.070086549","0.604556277","zagraniczne","2018",0.0927730819011908,14.1608447488584,"MetLife Stabilnego Wzrostu2018"
"559","MetLife Akcji Chiñskich i Azjatyckich","Metlife Subfundusz Akcji Chiñskich i Azjatyckich",4.25,"MetLife ","2007-01-10",500,250,"50.3","akcji",3,"4",0,"0","3.32","0.001060846","0.004552325","-0.016000334","2.223085675","-4.85815E-05","-0.028851781","0.263089691","1.133529036","zagraniczne","2018",0.219747075804064,11.5963470319635,"MetLife Akcji Chiñskich i Azjatyckich2018"
"560","MetLife Akcji Ma³ych Spó³ek","Metlife Subfundusz Akcji Ma³ych Spó³ek",3.43,"MetLife ","2007-01-10",500,250,"22.5","akcji",3,"4",0,"0","3.43","6.36446E-05","0.006013605","-0.012662534","2.495731448","0.000760478","0.194238304","0.015783868","1.497387748","polskie","2018",0.00119132001873439,11.5963470319635,"MetLife Akcji Ma³ych Spó³ek2018"
"561","MetLife Akcji Polskich","Metlife Subfundusz Akcji Polskich",4.46,"MetLife ","2007-01-10",500,250,"16.2","akcji",4,"4",0,"0","4.46","0.000429574","0.007084594","-0.017323663","3.167478334","0.000138267","0.10476472","0.106534323","1.764063798","polskie","2018",0.0524552020765408,11.5963470319635,"MetLife Akcji Polskich2018"
"562","MetLife Akcji Rynków Wschodz¹cych","Metlife Subfundusz Akcji Rynków Wschodz¹cych",5.19,"MetLife ","2007-01-10",500,250,"31.1","akcji",3,"4",0,"0","3.35","0.000806861","0.00548056","-0.01813409","2.800081558","0.000468581","0.112551794","0.200101641","1.364659421","zagraniczne","2018",0.136372224553748,11.5963470319635,"MetLife Akcji Rynków Wschodz¹cych2018"
"563","MetLife Lokacyjny","Metlife Subfundusz Lokacyjny",1.1,"MetLife ","2007-01-10",500,250,"68","pieniê¿ne",0.8,"0",0,"0","1.1","0.000125677","0.000374894","-0.000819296","0.147589424","4.87556E-05","0.013502366","0.031167835","0.093348562","polskie","2018",0.183911081565456,11.5963470319635,"MetLife Lokacyjny2018"
"564","MetLife Obligacji Plus","Metlife Subfundusz Obligacji Plus",1.74,"MetLife ","2007-01-10",500,250,"51.4","d³u¿ne",1.45,"0.5",0,"0","1.74","0.000128726","0.000847596","-0.002035328","0.529528341","5.18063E-05","0.008584243","0.031924135","0.211051287","polskie","2018",0.0849278640030278,11.5963470319635,"MetLife Obligacji Plus2018"
"565","MetLife Ochrony Wzrostu","Metlife Subfudnusz Ochrony Wzrostu",4,"MetLife ","2007-01-10",500,250,"4.6","mieszane",2.6,"2",0,"0","3.13","9.24759E-05","0.001655883","-0.002349278","0.549505683","-6.38395E-05","-0.01410994","0.022934017","0.412314943","zagraniczne","2018",0.0216679437688971,11.5963470319635,"MetLife Ochrony Wzrostu2018"
"566","MetLife Akcji Amerykañskich","Metlife Subfundusz Akcji Amerykañskich",3.06,"MetLife ","2007-01-10",500,250,"33.6","akcji",2.5,"4",0,"0","2.84","0.000397557","0.003446601","-0.018445269","1.94650627","-0.00027877","0.019447258","0.098594255","0.858203762","zagraniczne","2018",0.0985712936084752,11.5963470319635,"MetLife Akcji Amerykañskich2018"
"567","MetLife Akcji Nowa Europa","Metlife Subfundusz Akcji Nowa Europa",4.12,"MetLife ","2007-01-10",500,250,"43.4","akcji",3.5,"4",0,"0","4.12","0.000278197","0.005239098","-0.019735933","2.696890118","0.001073125","0.157606703","0.068992871","1.304535411","zagraniczne","2018",0.0421551385545333,11.5963470319635,"MetLife Akcji Nowa Europa2018"
"568","MetLife Akcji Rynków Rozwiniêtych","Metlife Subfundusz Akcji Rynków Rozwiniêtych",3.99,"MetLife ","2007-01-10",500,250,"19.3","akcji",3,"4",0,"0","3.5","0.000352186","0.003536017","-0.015008706","1.890050224","0.000305438","0.110520817","0.08734201","0.880468204","zagraniczne","2018",0.083298874015898,11.5963470319635,"MetLife Akcji Rynków Rozwiniêtych2018"
"569","MetLife Obligacji Œwiatowych","Metlife Subfundusz Obligacji Œwiatowych",2.57,"MetLife ","2007-01-10",500,250,"60.4","d³u¿ne",1,"1",0,"0","1.27","9.38504E-05","0.001269415","-0.006259081","0.716845804","0.00037412","0.136946054","0.023274906","0.316084261","zagraniczne","2018",0.0293431440422148,11.5963470319635,"MetLife Obligacji Œwiatowych2018"
"570","MetLife Zrównowa¿ony Azjatycki","Metlife Subfundusz Zrównowa¿ony Azjatycki",3.96,"MetLife ","2007-01-10",500,250,"9.4","mieszane",2.5,"3",0,"0","3.12","0.000521097","0.003795063","-0.014040878","1.983747454","0.000245903","0.047916506","0.129232124","0.944970667","zagraniczne","2018",0.121942540677826,11.5963470319635,"MetLife Zrównowa¿ony Azjatycki2018"
"571","Millennium Akcji","Millennium FIO S Akcji",4.41,"Millennium","2002-01-03",500,500,"226.3","akcji",4,"1.5",0,"0","4.15","0.000389108","0.00623962","-0.015921069","2.929198016","-4.33134E-05","0.042146095","0.096887889","1.559904937","polskie","2018",0.0531365002019992,16.6182648401826,"Millennium Akcji2018"
"572","Millennium Cyklu Koniunkturalnego","Millennium FIO S Cyklu Koniunkturalnego",4.66,"Millennium","2002-01-03",500,500,"170.3","mieszane",3.5,"1.5",0,"0","4.18","0.000162478","0.003102898","-0.010709247","1.531721304","-0.00021159","0.020607428","0.04045695","0.775724602","zagraniczne","2018",0.0341061117976506,16.6182648401826,"Millennium Cyklu Koniunkturalnego2018"
"573","Millennium Depozytowy","Millennium FIO S Depozytowy",1.55,"Millennium","2002-01-03",500,500,"1662","pieniê¿ne",1,"0.6",0,"0","1.06","0.000106877","0.00019508","-0.000499303","0.096931436","7.47793E-05","0.019274712","0.026612292","0.048770064","polskie","2018",0.258607247265454,16.6182648401826,"Millennium Depozytowy2018"
"574","Millennium Dynamicznych Spó³ek","Millennium FIO S Dynamicznych Spó³ek",4.26,"Millennium","2007-04-10",500,500,"75.6","akcji",4,"1.5",0,"0","4.23","9.64807E-05","0.004605646","-0.012362602","2.243529523","0.000575439","0.115585556","0.024023695","1.151411556","polskie","2018",0.00870557095572524,11.3498858447489,"Millennium Dynamicznych Spó³ek2018"
"575","Millennium Instrumentów D³u¿nych","Millennium FIO S Instrumentów D³u¿nych",2.56,"Millennium","2014-09-15",500,500,"137.6","d³u¿ne",1.9,"0.6",0,"0","2.05","0.000174631","0.000630565","-0.002494369","0.501302372","0.000137702","0.01504269","0.043483087","0.157641159","zagraniczne","2018",0.187026581046641,3.9115296803653,"Millennium Instrumentów D³u¿nych2018"
