name;mean_daily_log_rr_16;yearly_rr_16;std_daily_log_rr_16;yearly_std_16;var16_5;var16_95;es16;eg16;mean_daily_log_rr_17;yearly_rr_17;std_daily_log_rr_17;yearly_std_17;var17_5;var17_95;es17;eg17
3162;0.00087107;0.212541042;0.010789175;2.643347765;-0.017948838;4.39746535;-0.001112307;-0.331654719;0.000253486;0.061343502;0.006442246;1.565465678;-0.020803526;3.329840639;0.000704957;0.1285613
3163;5.95027E-05;0.014399643;0.016955515;4.12019006;-0.027764706;6.74682357;-0.001841705;-0.49401485;0.000379412;0.089920645;0.010522817;2.504430373;-0.033083283;4.979591053;-0.000401418;-0.165129199
3164;4.39502E-05;0.010987543;0.002240358;0.562329742;-0.003998574;1.003642148;-0.000231559;-0.058788075;0.000189133;0.047094177;0.001491626;0.372906561;-0.004343924;0.740090145;9.99795E-06;0.009120801
3165;0.000494665;0.123666137;0.009589975;2.407083769;-0.017439945;4.377426317;-0.000760279;-0.248983886;0.000531787;0.131883131;0.007527888;1.874444004;-0.018405101;3.335494232;8.37144E-05;0.112943011
3166;0.000895678;0.223919447;0.00752827;1.889595824;-0.013607158;3.415396603;-0.000263737;-0.107867565;-0.000109786;-0.027226813;0.006382379;1.589212421;-0.013777581;2.719673701;0.000829614;0.215233835
3167;0.000399253;0.099813243;0.005462746;1.371149146;-0.009869901;2.477345082;-0.000368328;-0.088320582;0.00014239;0.035312622;0.004690639;1.167969218;-0.010232236;1.94355992;0.000413967;0.098545137
3168;1.55794E-05;0.003894844;0.00138969;0.348812131;-0.001972352;0.495060265;2.19847E-06;0.013675722;0.000133039;0.032993669;0.000783588;0.195113518;-0.001876711;0.516951835;2.34728E-05;0.008186848
3169;4.6813E-05;0.011703244;0.000430082;0.107950506;-0.000647776;0.162591715;7.16185E-05;0.01897395;0.000128713;0.031920807;0.00044688;0.111273152;-0.000844256;0.171188636;4.16482E-05;0.01173375
3170;0.000138831;0.034707854;0.003693787;0.927140527;-0.006452447;1.619564211;-0.000267247;-0.084310866;0.000282607;0.070086549;0.002427937;0.604556277;-0.006991753;1.213799042;7.62371E-05;0.026242386
3172;2.65278E-05;0.006631952;0.007521146;1.887807589;-0.01636121;4.106663786;2.46543E-05;0.080394746;0.001060846;0.263089691;0.004552325;1.133529036;-0.016000334;2.223085675;-4.85815E-05;-0.028851781
3173;0.000739333;0.18483326;0.006811523;1.709692279;-0.012654482;3.176274924;-2.7901E-05;0.057223207;6.36446E-05;0.015783868;0.006013605;1.497387748;-0.012662534;2.495731448;0.000760478;0.194238304
3174;0.000500653;0.125163143;0.00898008;2.254000018;-0.016119502;4.045994985;-0.000600769;-0.177355068;0.000429574;0.106534323;0.007084594;1.764063798;-0.017323663;3.167478334;0.000138267;0.10476472
3176;0.000366269;0.091567194;0.008988377;2.256082508;-0.017581543;4.41296726;-0.000348292;-0.125272029;0.000806861;0.200101641;0.00548056;1.364659421;-0.01813409;2.800081558;0.000468581;0.112551794
3177;5.54409E-05;0.013860236;0.000399052;0.100161994;-0.000649412;0.163002508;6.987E-05;0.018477235;0.000125677;0.031167835;0.000374894;0.093348562;-0.000819296;0.147589424;4.87556E-05;0.013502366
3178;1.49813E-05;0.003745323;0.001389125;0.34867034;-0.0020515;0.514926547;1.0621E-05;0.005639577;0.000128726;0.031924135;0.000847596;0.211051287;-0.002035328;0.529528341;5.18063E-05;0.008584243
3180;-0.000101393;-0.02534837;0.001276839;0.320486479;-0.003737502;0.93811308;-0.000157814;-0.014189598;9.24759E-05;0.022934017;0.001655883;0.412314943;-0.002349278;0.549505683;-6.38395E-05;-0.01410994
3181;0.000308553;0.076829579;0.007952726;1.988181404;-0.016493926;4.123481589;0.000291228;0.104032436;0.000397557;0.098594255;0.003446601;0.858203762;-0.018445269;1.94650627;-0.00027877;0.019447258
3186;0.000715177;0.178794216;0.00954458;2.395689645;-0.018402714;4.619081125;-0.000602504;-0.150440336;0.000278197;0.068992871;0.005239098;1.304535411;-0.019735933;2.696890118;0.001073125;0.157606703
3188;0.000506293;0.126573208;0.006903058;1.732667623;-0.014408025;3.616414268;-2.96148E-06;9.1597E-05;0.000352186;0.08734201;0.003536017;0.880468204;-0.015008706;1.890050224;0.000305438;0.110520817
3194;0.000318824;0.079387271;0.002711422;0.677855544;-0.006406558;1.601639543;0.000139957;0.039272769;9.38504E-05;0.023274906;0.001269415;0.316084261;-0.006259081;0.716845804;0.00037412;0.136946054
3197;0.00016857;0.041973826;0.006726356;1.681589093;-0.013773268;3.443316915;-8.03283E-05;0.027740562;0.000521097;0.129232124;0.003795063;0.944970667;-0.014040878;1.983747454;0.000245903;0.047916506
3199;0.000306788;0.076696938;0.008503324;2.13433441;-0.015205959;3.816695731;-0.000451925;-0.05647815;0.000389108;0.096887889;0.00623962;1.559904937;-0.015921069;2.929198016;-4.33134E-05;0.042146095
3200;0.000171557;0.042889242;0.005191671;1.303109368;-0.01105762;2.775462521;-0.000239179;-0.032496604;0.000162478;0.04045695;0.003102898;0.775724602;-0.010709247;1.531721304;-0.00021159;0.020607428
3201;8.04501E-05;0.020112536;0.000271704;0.068197587;-0.000489351;0.122827013;4.58359E-05;0.012751422;0.000106877;0.026612292;0.00019508;0.048770064;-0.000499303;0.096931436;7.47793E-05;0.019274712
3202;0.000579209;0.144802248;0.006653866;1.670120266;-0.012632151;3.170669875;0.000215842;0.153258821;9.64807E-05;0.024023695;0.004605646;1.151411556;-0.012362602;2.243529523;0.000575439;0.115585556
3203;0.000128614;0.032153385;0.001607043;0.403367864;-0.002910119;0.730439915;-5.49719E-05;0.000489378;0.000174631;0.043483087;0.000630565;0.157641159;-0.002494369;0.501302372;0.000137702;0.01504269
3204;0.000135724;0.033930924;0.003119857;0.783084091;-0.005812518;1.458941963;-0.000151789;-0.02356911;0.000188046;0.046823409;0.00222148;0.555369997;-0.005951926;1.055065783;0.000110903;0.01329843
3205;-6.12193E-06;-0.001530482;0.00273663;0.686894063;-0.004917268;1.234234297;0.000230954;0.081763467;-2.59763E-05;-0.006468108;0.002005719;0.501429833;-0.005396477;0.860489329;-7.03055E-05;-0.023425978
3206;2.58065E-05;0.006451635;0.007353654;1.845767227;-0.013337298;3.347661756;0.000164552;-0.018793894;0.00051221;0.127540339;0.003195651;0.798912786;-0.014929372;1.880268902;-0.000903485;-0.123957515
3207;6.4851E-05;0.016212748;0.003633264;0.911949211;-0.006858456;1.721472434;0.000103434;-0.005493792;0.000202733;0.050480417;0.001499644;0.374910999;-0.007758352;0.870676776;-8.41812E-05;-0.039350718
3208;1.71386E-05;0.004284656;0.004392741;1.102578046;-0.008029375;2.015373203;-0.000252766;-0.073064347;7.8258E-05;0.019486233;0.00204696;0.511739989;-0.00911447;1.168765932;-0.000157574;-0.048771384
3209;NA;NA;NA;NA;NA;NA;NA;NA;6.0297E-05;0.015013953;0.001004519;0.251129769;-0.001136604;0.382182569;-0.000107133;-0.026465751
3210;0.000153439;0.038359636;0.001022414;0.256625994;-0.0016785;0.421303537;3.75985E-05;0.006690363;0.000139585;0.034756578;0.000383456;0.095864116;-0.001986176;0.266738349;8.403E-05;0.025358241
3306;0.000300204;0.075050994;0.008677116;2.177956111;-0.015438777;3.875133103;-0.000254738;-0.009531438;0.000756685;0.188414472;0.006735634;1.683908582;-0.016349335;3.075273268;0.000169809;0.032544497
3307;0.000421531;0.105382698;0.007476712;1.876654727;-0.013703471;3.439571199;0.00029702;0.104852646;0.000513435;0.127845361;0.005120436;1.280108977;-0.01422744;2.493669015;-3.12889E-05;0.069133849
3308;-0.000127215;-0.031803729;0.004775749;1.198713002;-0.009960251;2.500023073;3.35465E-05;0.006275648;0.000571576;0.14232249;0.004409255;1.102313868;-0.010834505;1.579466928;-6.20753E-05;-0.040436357
3309;-1.11242E-06;-0.000278106;0.003827738;0.960762246;-0.008040933;2.018274175;0.000127263;0.079098096;0.000405312;0.100922587;0.002967614;0.741903406;-0.007516655;1.314476711;-0.000144384;0.001027982
3310;8.25439E-06;0.002063597;0.001172448;0.294284492;-0.001986857;0.498700982;1.70901E-05;0.008815209;8.51415E-05;0.021200236;0.000645914;0.161478391;-0.001379852;0.461740998;2.89987E-05;0.008710833
3311;6.14586E-05;0.015364657;0.000549398;0.137898784;-0.000928104;0.232954193;2.55738E-05;0.00868351;0.000130669;0.032536566;0.000273423;0.068355709;-0.001244281;0.148908969;9.0029E-05;0.014233212
3312;3.24322E-05;0.008108057;0.003239568;0.81313148;-0.006377051;1.600639832;9.94895E-05;0.069782748;0.000336624;0.083819377;0.002426175;0.606543831;-0.006454608;1.12778947;2.5476E-05;-0.000268462
3313;0.000231265;0.057816363;0.004830691;1.212503453;-0.009608373;2.411701548;0.000348892;0.129833221;0.000479399;0.119370249;0.005240347;1.310086662;-0.009589676;2.08004516;0.00016635;0.053138435
3314;0.000444508;0.111127046;0.007753932;1.94623695;-0.013073009;3.281325356;-0.001227827;-0.304917303;0.000685541;0.170699662;0.005151235;1.287808634;-0.014453767;2.48644643;0.000524923;0.088049095
3315;0.000237306;0.059326555;0.01356687;3.405284354;-0.026073435;6.544432077;-0.001687429;-0.400901218;0.001333026;0.331923564;0.010011177;2.502794229;-0.02537217;4.719942885;-0.000179064;0.049354141
3316;0.000558386;0.139596525;0.009943935;2.495927753;-0.021179667;5.316096325;-0.000892693;-0.219412212;0.000855297;0.212968845;0.006063753;1.515938189;-0.019701742;3.102873521;0.000532173;0.139436537
3317;-9.46096E-05;-0.023652393;0.008330764;2.091021743;-0.015873919;3.984353544;-0.000108124;-0.019878362;0.000176187;0.043870506;0.002834765;0.708691301;-0.01752124;2.035598459;-0.0011086;-0.108484506
3318;-2.02524E-06;-0.000506311;0.001211467;0.304078296;-0.001419772;0.356362677;3.9308E-05;0.014219041;4.88483E-05;0.012163236;0.00152462;0.381154935;-0.001225224;0.634830942;-1.08004E-05;-0.009947176
3319;NA;NA;NA;NA;NA;NA;NA;NA;-0.000199996;-0.028399475;0.003967944;0.567416017;NA;NA;NA;NA
3320;4.44889E-05;0.011122216;0.001893917;0.475373241;-0.002813472;0.706181437;1.20088E-05;-0.000978046;-5.22997E-05;-0.013022621;0.002311581;0.577895308;-0.00221239;1.020396926;5.88522E-05;0.013292877
3321;-6.75824E-05;-0.016895597;0.002706965;0.67944825;-0.003796681;0.952966825;-7.0466E-05;-0.012167833;-0.000150364;-0.037440561;0.003267321;0.81683032;-0.002965053;1.436754544;-6.79223E-05;-0.020780434
